# r g77 g88 g78
1.074999999999999956e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.125000000000000000e+00 0.000000000000000000e+00 1.304795999999999927e-07 0.000000000000000000e+00
1.175000000000000044e+00 0.000000000000000000e+00 9.459326000000000089e-07 0.000000000000000000e+00
1.225000000000000089e+00 0.000000000000000000e+00 5.774101600000000208e-06 1.072472000000000049e-07
1.274999999999999911e+00 0.000000000000000000e+00 2.624818640000001896e-05 1.338077400000000634e-05
1.324999999999999956e+00 0.000000000000000000e+00 1.077311440000000098e-04 3.552343769999999649e-04
1.375000000000000000e+00 0.000000000000000000e+00 3.804613875999991496e-04 4.250856552599983906e-03
1.425000000000000044e+00 0.000000000000000000e+00 1.144719949199999838e-03 2.890585231999990082e-02
1.475000000000000089e+00 0.000000000000000000e+00 3.187183691200005768e-03 1.185934440400001622e-01
1.524999999999999911e+00 0.000000000000000000e+00 7.792641966000020751e-03 3.239783419999993641e-01
1.574999999999999956e+00 0.000000000000000000e+00 1.738009281000001474e-02 6.391671679999971767e-01
1.625000000000000000e+00 0.000000000000000000e+00 3.487724614000005385e-02 9.768701440000000513e-01
1.675000000000000044e+00 0.000000000000000000e+00 6.399802076000012108e-02 1.229579247999999181e+00
1.725000000000000089e+00 0.000000000000000000e+00 1.082898181799996085e-01 1.337283227999998658e+00
1.774999999999999911e+00 0.000000000000000000e+00 1.699890137999999495e-01 1.307975085999996123e+00
1.824999999999999956e+00 0.000000000000000000e+00 2.504445739999994758e-01 1.188246998000002774e+00
1.875000000000000000e+00 0.000000000000000000e+00 3.481831184000003798e-01 1.027875518000002097e+00
1.925000000000000044e+00 0.000000000000000000e+00 4.599852515999990898e-01 8.632097371999987168e-01
1.975000000000000089e+00 0.000000000000000000e+00 5.811439128000014387e-01 7.151423563999995681e-01
2.024999999999999911e+00 0.000000000000000000e+00 7.058590408000005034e-01 5.906568167999999286e-01
2.075000000000000178e+00 0.000000000000000000e+00 8.292539021999983939e-01 4.904160917999996205e-01
2.125000000000000000e+00 0.000000000000000000e+00 9.447909474000036889e-01 4.125755451999988388e-01
2.174999999999999822e+00 0.000000000000000000e+00 1.047790311999999169e+00 3.540186804000005072e-01
2.225000000000000089e+00 0.000000000000000000e+00 1.133754392000001499e+00 3.109909118000007133e-01
2.274999999999999911e+00 0.000000000000000000e+00 1.200142731999995771e+00 2.814797107999992831e-01
2.325000000000000178e+00 7.725377000000001031e-06 1.243624327999997226e+00 2.630511527999997989e-01
2.375000000000000000e+00 6.575560514000006879e-04 1.263944748000005669e+00 2.555013340000002464e-01
2.424999999999999822e+00 1.311749989599998202e-02 1.260445619999998490e+00 2.582657993999999957e-01
2.475000000000000089e+00 1.069432643800001387e-01 1.235171398000003196e+00 2.716674968000000745e-01
2.524999999999999911e+00 4.392412847999985215e-01 1.190869067999999809e+00 2.965932016000005222e-01
2.575000000000000178e+00 1.088338932399997683e+00 1.133200847999999761e+00 3.338584741999999772e-01
2.625000000000000000e+00 1.869555809999991824e+00 1.067125502000002113e+00 3.843450829999998652e-01
2.674999999999999822e+00 2.470270615999995645e+00 1.000212116399999740e+00 4.487914981999996389e-01
2.725000000000000089e+00 2.718478278000000525e+00 9.376068823999991197e-01 5.281685483999994934e-01
2.774999999999999911e+00 2.645586281999994238e+00 8.844409217999996686e-01 6.217374817999997694e-01
2.825000000000000178e+00 2.385617641999996597e+00 8.434930406000019643e-01 7.291429038000004637e-01
2.875000000000000000e+00 2.065677291999995280e+00 8.145773226000017075e-01 8.482332217999987156e-01
2.924999999999999822e+00 1.764569081999997513e+00 7.974952170000018103e-01 9.742280299999996895e-01
2.975000000000000089e+00 1.514459914000003682e+00 7.906038973999972574e-01 1.099426740000001956e+00
3.024999999999999911e+00 1.322575341999998377e+00 7.923046336000013623e-01 1.214720179999998040e+00
3.075000000000000178e+00 1.180563176000000158e+00 8.008684740000008295e-01 1.311195844000001998e+00
3.125000000000000000e+00 1.081176257199999657e+00 8.149145770000022493e-01 1.382702676000000741e+00
3.174999999999999822e+00 1.012610415400004182e+00 8.335426498000002571e-01 1.427010956000001052e+00
3.225000000000000089e+00 9.656396310000014971e-01 8.560467679999990143e-01 1.445487984000001447e+00
3.274999999999999911e+00 9.359936387999950869e-01 8.809822303999981230e-01 1.444010718000001470e+00
3.325000000000000178e+00 9.170020579999976773e-01 9.081511525999996781e-01 1.426938323999995095e+00
3.375000000000000000e+00 9.069337534000005974e-01 9.369808406000019740e-01 1.398850435999994701e+00
3.424999999999999822e+00 9.026121053999992538e-01 9.660973700000000663e-01 1.364648466000001115e+00
3.475000000000000089e+00 9.021396933999958900e-01 9.956390770000033141e-01 1.326172181999998090e+00
3.524999999999999911e+00 9.051654271999984847e-01 1.024766045799996972e+00 1.284710375999999599e+00
3.575000000000000178e+00 9.107609136000021088e-01 1.051669040000001498e+00 1.241762721999996710e+00
3.625000000000000000e+00 9.178642318000022060e-01 1.076422809999999952e+00 1.197917587999999922e+00
3.674999999999999822e+00 9.263184550000002071e-01 1.098087067999999000e+00 1.155358566000001863e+00
3.725000000000000089e+00 9.356844134000014135e-01 1.115680918000001798e+00 1.116016483999998199e+00
3.774999999999999911e+00 9.460425588000002106e-01 1.128747380000000078e+00 1.081767436000000915e+00
3.825000000000000178e+00 9.576110092000008622e-01 1.136849426000003049e+00 1.053999578799998504e+00
3.875000000000000000e+00 9.684353260000020391e-01 1.139035447999997341e+00 1.032525898199997183e+00
3.924999999999999822e+00 9.798903396000007149e-01 1.135920231999997920e+00 1.016368962999997239e+00
3.975000000000000089e+00 9.909301702000018475e-01 1.128079433999999770e+00 1.004533462200002170e+00
4.025000000000000355e+00 1.002062399199999287e+00 1.116443898000003099e+00 9.965074494000013550e-01
4.075000000000000178e+00 1.012695654600000106e+00 1.102690938000002063e+00 9.904409845999967432e-01
4.125000000000000000e+00 1.022219530599999260e+00 1.088060683999996892e+00 9.860688066000020680e-01
4.174999999999999822e+00 1.029818377999996315e+00 1.073976405999998773e+00 9.826864513999981066e-01
4.224999999999999645e+00 1.037857698000000273e+00 1.061703645999998225e+00 9.796295704000005378e-01
4.275000000000000355e+00 1.043658906399998365e+00 1.051370588000000605e+00 9.769440190000006075e-01
4.325000000000000178e+00 1.048252520999994886e+00 1.043419684000000958e+00 9.746300641999968706e-01
4.375000000000000000e+00 1.052647658200003278e+00 1.037280335999998915e+00 9.720726722000002651e-01
4.424999999999999822e+00 1.055157320799999798e+00 1.033104367600000462e+00 9.699344083999967836e-01
4.474999999999999645e+00 1.055851445399996091e+00 1.030174164800001124e+00 9.679882485999976582e-01
4.525000000000000355e+00 1.055882405400006663e+00 1.027928410800000414e+00 9.665325983999999426e-01
4.575000000000000178e+00 1.054159055600000894e+00 1.025664017200001998e+00 9.656276915999977284e-01
4.625000000000000000e+00 1.052486150600004056e+00 1.023874345599999902e+00 9.656380407999984872e-01
4.674999999999999822e+00 1.049681224600001128e+00 1.021649388999995800e+00 9.662197147999993518e-01
4.724999999999999645e+00 1.045652822800001713e+00 1.019166227800001989e+00 9.677374751999997526e-01
4.775000000000000355e+00 1.042045720399997766e+00 1.016271579200000330e+00 9.699450265999983722e-01
4.825000000000000178e+00 1.037803259400002842e+00 1.012859452200000954e+00 9.726617583999999095e-01
4.875000000000000000e+00 1.033153967600000112e+00 1.009251495200001347e+00 9.757900348000013713e-01
4.924999999999999822e+00 1.028879821199998768e+00 1.005266094600000493e+00 9.795961682000045023e-01
4.974999999999999645e+00 1.024238988999999433e+00 1.000977619999999568e+00 9.835685355999972401e-01
5.025000000000000355e+00 1.019262430799998009e+00 9.968905797999978446e-01 9.877075958000032241e-01
5.075000000000000178e+00 1.014627066799997479e+00 9.931298006000013334e-01 9.920143916000004891e-01
5.125000000000000000e+00 1.010237568400000008e+00 9.892632641999965504e-01 9.961883596000010721e-01
5.174999999999999822e+00 1.005944176600000795e+00 9.862140909999974614e-01 1.000220427200002815e+00
5.224999999999999645e+00 1.001238980399999257e+00 9.835601457999999520e-01 1.004136817800001413e+00
5.275000000000000355e+00 9.961716040000015981e-01 9.814575896000035105e-01 1.007647576399999467e+00
5.325000000000000178e+00 9.909447453999998823e-01 9.802153766000013535e-01 1.010809607800005505e+00
5.375000000000000000e+00 9.849209105999969793e-01 9.798512023999964571e-01 1.013590672600001019e+00
5.424999999999999822e+00 9.784788141999993805e-01 9.799749203999985614e-01 1.015732457799999766e+00
5.474999999999999645e+00 9.729999312000007228e-01 9.810969182000024436e-01 1.017529481000001956e+00
5.525000000000000355e+00 9.673991763999976179e-01 9.825642310000018975e-01 1.018546352399999799e+00
5.575000000000000178e+00 9.633514938000006245e-01 9.849001562000008203e-01 1.018894985799996489e+00
5.625000000000000000e+00 9.608251691999972754e-01 9.873754537999993586e-01 1.018774028800000453e+00
5.674999999999999822e+00 9.593240226000019355e-01 9.902870275999992034e-01 1.017722357599997407e+00
5.724999999999999645e+00 9.596993282000012560e-01 9.933685308000013148e-01 1.016227886399999614e+00
5.775000000000000355e+00 9.608868352000016211e-01 9.964326245999985954e-01 1.014022135200001618e+00
5.825000000000000178e+00 9.635938227999975014e-01 9.995806695999983615e-01 1.011549792799998349e+00
5.875000000000000000e+00 9.670572071999972152e-01 1.002417675200005576e+00 1.008923326200000803e+00
5.924999999999999822e+00 9.710624313999988155e-01 1.005065119399999540e+00 1.006028962800000759e+00
5.974999999999999645e+00 9.763612587999981329e-01 1.007418921400001999e+00 1.003285627599996843e+00
6.025000000000000355e+00 9.813284168000001584e-01 1.009498020199999679e+00 1.000664019799999860e+00
6.075000000000000178e+00 9.866007782000000281e-01 1.011107661400001634e+00 9.985218452000006462e-01
6.125000000000000000e+00 9.923614120000009420e-01 1.012339228799999269e+00 9.964210297999980259e-01
6.174999999999999822e+00 9.975875221999993547e-01 1.013117790800000195e+00 9.950020960000014458e-01
6.224999999999999645e+00 1.002971526799999236e+00 1.013711178399997470e+00 9.938660670000022401e-01
6.275000000000000355e+00 1.008043298999998560e+00 1.013853402799995251e+00 9.932580710000001867e-01
6.325000000000000178e+00 1.013160227600001129e+00 1.013706473799998564e+00 9.931680323999982907e-01
6.375000000000000000e+00 1.017341713200001774e+00 1.013463840000001781e+00 9.932365509999996345e-01
6.424999999999999822e+00 1.021445142000001693e+00 1.012798344200003697e+00 9.940010855999995565e-01
6.474999999999999645e+00 1.025020960599999587e+00 1.012225968200001658e+00 9.950992502000017836e-01
6.525000000000000355e+00 1.028128118400000179e+00 1.011487203400003310e+00 9.963636507999992231e-01
6.575000000000000178e+00 1.030940704000001817e+00 1.010785302999997581e+00 9.978715787999968834e-01
6.625000000000000000e+00 1.032834775399995131e+00 1.009977318800002299e+00 9.995616252000026902e-01
6.674999999999999822e+00 1.034450196799999278e+00 1.009375585799997976e+00 1.001355021799997802e+00
6.724999999999999645e+00 1.035461516199997822e+00 1.008799570199999884e+00 1.003137497999999628e+00
6.775000000000000355e+00 1.036094174600000750e+00 1.008316377200001002e+00 1.004937482799999504e+00
6.825000000000000178e+00 1.036365127600002323e+00 1.008014882000000334e+00 1.006769807600001565e+00
6.875000000000000000e+00 1.035964043399999923e+00 1.007825836599997915e+00 1.008584894600000448e+00
6.924999999999999822e+00 1.035164279800000253e+00 1.007742572600000441e+00 1.010205073000003617e+00
6.974999999999999645e+00 1.033992335200001333e+00 1.007749674999997902e+00 1.011648685200000841e+00
7.025000000000000355e+00 1.032926771199996097e+00 1.007722651000001024e+00 1.013216683400001816e+00
7.075000000000000178e+00 1.031379612799998569e+00 1.007923736399998438e+00 1.014225125600002553e+00
7.125000000000000000e+00 1.029468273000003320e+00 1.008258549400001813e+00 1.015454320600003735e+00
7.174999999999999822e+00 1.027456850400000121e+00 1.008542547400000489e+00 1.016136675200000283e+00
7.224999999999999645e+00 1.025360173200002389e+00 1.008741158999998389e+00 1.016803634200002637e+00
7.275000000000000355e+00 1.023286543000001991e+00 1.008920644400004285e+00 1.017177665000004616e+00
7.325000000000000178e+00 1.021007546399999466e+00 1.009327374800003341e+00 1.017275311999999321e+00
7.375000000000000000e+00 1.018750572399997223e+00 1.009508134799999235e+00 1.017497185400004112e+00
7.424999999999999822e+00 1.016434723599999312e+00 1.009798032799998246e+00 1.017126282800001169e+00
7.474999999999999645e+00 1.014162665199999092e+00 1.010007844200000005e+00 1.016872294200003246e+00
7.525000000000000355e+00 1.012161727599997896e+00 1.010068249000001472e+00 1.016209207400003312e+00
7.575000000000000178e+00 1.010109012600001632e+00 1.010297376999998775e+00 1.015577374600001193e+00
7.625000000000000000e+00 1.008143577199996921e+00 1.010511788200000982e+00 1.014868639600003286e+00
7.674999999999999822e+00 1.006275738999999447e+00 1.010584861199999906e+00 1.013877193800001297e+00
7.724999999999999645e+00 1.004846769199995382e+00 1.010740174600001762e+00 1.012796021399999802e+00
7.775000000000000355e+00 1.003544275400000352e+00 1.010829817999999714e+00 1.011722750599998832e+00
7.825000000000000178e+00 1.002228647199995937e+00 1.010735124600002699e+00 1.010620944999998994e+00
7.875000000000000000e+00 1.000921628799997576e+00 1.010720082199999759e+00 1.009462816400002572e+00
7.924999999999999822e+00 1.000397085599999514e+00 1.010712705600006478e+00 1.008163021799998837e+00
7.974999999999999645e+00 9.997468000000019339e-01 1.010596051400003192e+00 1.007059418399998130e+00
8.025000000000000355e+00 9.992470375999968901e-01 1.010316687000000657e+00 1.005910127600001314e+00
8.074999999999999289e+00 9.989614915999993627e-01 1.010080875400001466e+00 1.004815514399999499e+00
8.125000000000000000e+00 9.988777065999966398e-01 1.009935295800000521e+00 1.003752808800001839e+00
8.175000000000000711e+00 9.987752769999992397e-01 1.009501331599999219e+00 1.002683283600001030e+00
8.224999999999999645e+00 9.990990681999993850e-01 1.009142273999999562e+00 1.001884726999999087e+00
8.275000000000000355e+00 9.996738499999977545e-01 1.008804198600001367e+00 1.001102690600001344e+00
8.324999999999999289e+00 1.000159246800002233e+00 1.008350969800001939e+00 1.000409490399997603e+00
8.375000000000000000e+00 1.000923867199998041e+00 1.007871011400000905e+00 9.998349172000007279e-01
8.425000000000000711e+00 1.001631016800002216e+00 1.007421610600000239e+00 9.994169173999983835e-01
8.474999999999999645e+00 1.002155175399998877e+00 1.006974952399998902e+00 9.990431663999997935e-01
8.525000000000000355e+00 1.002900454400000418e+00 1.006521187599999978e+00 9.988890836000002826e-01
8.574999999999999289e+00 1.003715226800001581e+00 1.006097720199998324e+00 9.986974864000008889e-01
8.625000000000000000e+00 1.004209051000002795e+00 1.005612447400000331e+00 9.988494492000042912e-01
8.675000000000000711e+00 1.004773098399997178e+00 1.005072790599998989e+00 9.990543920000002354e-01
8.724999999999999645e+00 1.005374218799999442e+00 1.004602347999997702e+00 9.992354640000010724e-01
8.775000000000000355e+00 1.006208103799996367e+00 1.004216858799996226e+00 9.996525864000035400e-01
8.824999999999999289e+00 1.006726684199999999e+00 1.003839429199998134e+00 1.000107444399999768e+00
8.875000000000000000e+00 1.007088432999999617e+00 1.003394810000000081e+00 1.000622938599997624e+00
8.925000000000000711e+00 1.007371259799999086e+00 1.003117391600003794e+00 1.001104148800004978e+00
8.974999999999999645e+00 1.007745803600002210e+00 1.002883669599999639e+00 1.001803493199999950e+00
9.025000000000000355e+00 1.007742065399999332e+00 1.002590912600002104e+00 1.002378625600001127e+00
9.074999999999999289e+00 1.007824164399997002e+00 1.002456897800000357e+00 1.003007066999999086e+00
9.125000000000000000e+00 1.008106508200002249e+00 1.002442756799999835e+00 1.003572749600001979e+00
9.175000000000000711e+00 1.008333491000002136e+00 1.002424107800002462e+00 1.004083419199997218e+00
9.224999999999999645e+00 1.008363078599998630e+00 1.002525136600001421e+00 1.004547141799997378e+00
9.275000000000000355e+00 1.008578478800002065e+00 1.002705279000002392e+00 1.004868430199997942e+00
9.324999999999999289e+00 1.008778738199997083e+00 1.002881465199999766e+00 1.005295655999999482e+00
9.375000000000000000e+00 1.008866230400000230e+00 1.003218151200000463e+00 1.005490741399994059e+00
9.425000000000000711e+00 1.009189851600001075e+00 1.003514637199999004e+00 1.005664635799998985e+00
9.474999999999999645e+00 1.009251124800002453e+00 1.003886107799998095e+00 1.005752476599996781e+00
9.525000000000000355e+00 1.009448275800000738e+00 1.004339606999999024e+00 1.005773487800003085e+00
9.574999999999999289e+00 1.009735632399994865e+00 1.004761633999998738e+00 1.005770737599997133e+00
9.625000000000000000e+00 1.009960722200003991e+00 1.005067730600001985e+00 1.005582244800000913e+00
9.675000000000000711e+00 1.010320743000001631e+00 1.005496121800000031e+00 1.005352530200000816e+00
9.724999999999999645e+00 1.010766152999998724e+00 1.006012038799999120e+00 1.005196227199998349e+00
9.775000000000000355e+00 1.011289613600002024e+00 1.006320487199998670e+00 1.004906488600000092e+00
9.824999999999999289e+00 1.011565145800000121e+00 1.006683770199999328e+00 1.004502718400001715e+00
9.875000000000000000e+00 1.011792482400001969e+00 1.007101257399998673e+00 1.004133762000001928e+00
9.925000000000000711e+00 1.012163183800002919e+00 1.007418928200001451e+00 1.003725959200000739e+00
9.974999999999999645e+00 1.012547604200002116e+00 1.007757958000000897e+00 1.003348603600001221e+00
